Batch,Negative_Count,Z_Score
0,18,0.7351197184059595
1,18,0.7351197184059595
2,18,0.7351197184059595
3,23,1.47311943570871
4,19,0.8827196618665096
5,17,0.5875197749454093
6,21,1.17791954878761
7,17,0.5875197749454093
8,12,-0.15047994235734136
9,10,-0.44567982927844163
10,13,-0.002879998896791225
11,5,-1.1836795465811922
12,9,-0.5932797727389918
13,15,0.292319888024309
14,21,1.17791954878761
15,8,-0.740879716199542
16,5,-1.1836795465811922
17,15,0.292319888024309
18,5,-1.1836795465811922
19,14,0.14471994456375892
20,27,2.0635192095509107
21,10,-0.44567982927844163
22,15,0.292319888024309
23,13,-0.002879998896791225
24,19,0.8827196618665096
25,23,1.47311943570871
26,15,0.292319888024309
27,25,1.7683193226298104
28,20,1.0303196053270598
29,22,1.3255194922481601
30,20,1.0303196053270598
31,27,2.0635192095509107
32,14,0.14471994456375892
33,22,1.3255194922481601
34,21,1.17791954878761
35,6,-1.0360796031206423
36,10,-0.44567982927844163
37,11,-0.2980798858178915
38,31,2.6539189833931114
39,15,0.292319888024309
40,10,-0.44567982927844163
41,30,2.506319039932561
42,12,-0.15047994235734136
43,4,-1.3312794900417424
44,10,-0.44567982927844163
45,12,-0.15047994235734136
46,15,0.292319888024309
47,6,-1.0360796031206423
48,2,-1.6264793769628427
49,6,-1.0360796031206423
50,5,-1.1836795465811922
51,9,-0.5932797727389918
52,10,-0.44567982927844163
53,7,-0.888479659660092
54,14,0.14471994456375892
55,13,-0.002879998896791225
56,9,-0.5932797727389918
57,5,-1.1836795465811922
58,4,-1.3312794900417424
59,13,-0.002879998896791225
60,29,2.358719096472011
61,24,1.6207193791692602
62,25,1.7683193226298104
63,8,-0.740879716199542
64,14,0.14471994456375892
65,15,0.292319888024309
66,30,2.506319039932561
67,24,1.6207193791692602
68,19,0.8827196618665096
69,9,-0.5932797727389918
70,16,0.4399198314848592
71,13,-0.002879998896791225
72,13,-0.002879998896791225
73,18,0.7351197184059595
74,24,1.6207193791692602
75,10,-0.44567982927844163
76,9,-0.5932797727389918
77,4,-1.3312794900417424
78,9,-0.5932797727389918
79,6,-1.0360796031206423
80,5,-1.1836795465811922
81,15,0.292319888024309
82,17,0.5875197749454093
83,10,-0.44567982927844163
84,3,-1.4788794335022926
85,11,-0.2980798858178915
86,7,-0.888479659660092
87,20,1.0303196053270598
88,19,0.8827196618665096
89,7,-0.888479659660092
90,12,-0.15047994235734136
91,8,-0.740879716199542
92,6,-1.0360796031206423
93,10,-0.44567982927844163
94,16,0.4399198314848592
95,18,0.7351197184059595
96,8,-0.740879716199542
97,7,-0.888479659660092
98,8,-0.740879716199542
99,10,-0.44567982927844163
100,2,-1.6264793769628427
101,11,-0.2980798858178915
102,9,-0.5932797727389918
103,2,-1.6264793769628427
104,18,0.7351197184059595
105,5,-1.1836795465811922
106,4,-1.3312794900417424
107,13,-0.002879998896791225
108,18,0.7351197184059595
109,16,0.4399198314848592
110,35,3.244318757235312
111,26,1.9159192660903606
112,27,2.0635192095509107
113,29,2.358719096472011
114,17,0.5875197749454093
115,10,-0.44567982927844163
116,17,0.5875197749454093
117,4,-1.3312794900417424
118,15,0.292319888024309
119,12,-0.15047994235734136
120,19,0.8827196618665096
121,11,-0.2980798858178915
122,15,0.292319888024309
123,13,-0.002879998896791225
124,26,1.9159192660903606
125,27,2.0635192095509107
126,16,0.4399198314848592
127,7,-0.888479659660092
128,12,-0.15047994235734136
129,16,0.4399198314848592
130,19,0.8827196618665096
131,6,-1.0360796031206423
132,5,-1.1836795465811922
133,10,-0.44567982927844163
134,13,-0.002879998896791225
135,6,-1.0360796031206423
136,7,-0.888479659660092
137,10,-0.44567982927844163
138,17,0.5875197749454093
139,9,-0.5932797727389918
140,10,-0.44567982927844163
141,22,1.3255194922481601
142,23,1.47311943570871
143,9,-0.5932797727389918
144,2,-1.6264793769628427
145,8,-0.740879716199542
146,4,-1.3312794900417424
147,23,1.47311943570871
148,9,-0.5932797727389918
149,6,-1.0360796031206423
150,20,1.0303196053270598
151,12,-0.15047994235734136
152,11,-0.2980798858178915
153,10,-0.44567982927844163
154,12,-0.15047994235734136
155,4,-1.3312794900417424
156,8,-0.740879716199542
157,8,-0.740879716199542
158,12,-0.15047994235734136
159,12,-0.15047994235734136
160,10,-0.44567982927844163
161,12,-0.15047994235734136
162,11,-0.2980798858178915
163,24,1.6207193791692602
164,9,-0.5932797727389918
165,15,0.292319888024309
166,14,0.14471994456375892
167,12,-0.15047994235734136
168,7,-0.888479659660092
169,7,-0.888479659660092
170,11,-0.2980798858178915
171,12,-0.15047994235734136
172,15,0.292319888024309
173,7,-0.888479659660092
174,11,-0.2980798858178915
175,8,-0.740879716199542
176,8,-0.740879716199542
177,16,0.4399198314848592
178,13,-0.002879998896791225
179,17,0.5875197749454093
180,5,-1.1836795465811922
181,4,-1.3312794900417424
182,15,0.292319888024309
183,4,-1.3312794900417424
184,9,-0.5932797727389918
185,10,-0.44567982927844163
186,9,-0.5932797727389918
187,7,-0.888479659660092
188,18,0.7351197184059595
189,17,0.5875197749454093
190,12,-0.15047994235734136
191,7,-0.888479659660092
192,15,0.292319888024309
193,7,-0.888479659660092
194,14,0.14471994456375892
195,10,-0.44567982927844163
196,8,-0.740879716199542
197,3,-1.4788794335022926
198,6,-1.0360796031206423
199,8,-0.740879716199542
200,30,2.506319039932561
201,16,0.4399198314848592
202,11,-0.2980798858178915
203,12,-0.15047994235734136
204,13,-0.002879998896791225
